00 14/01/96 19h09
01 16/01/96 13h38
02 18/01/96 08h06
03 20/01/96 02h35
04 21/01/96 21h03
05 23/01/96 21h03
06 25/01/96 10h00
07 27/01/96 04h29
08 28/01/96 22h57
09 30/01/96 17h25
10 01/02/96 11h54
11 03/02/96 06h22
12 05/02/96 00h51
13 06/02/96 19h19
14 08/02/96 13h48
15 10/02/96 08h16
16 12/02/96 02h45
17 13/02/96 21h13
18 15/02/96 15h41
19 17/02/96 10h10
20 19/02/96 04h38
21 20/02/96 23h07
22 22/02/96 17h35
23 24/02/96 12h03
24 26/02/96 06h32
25 28/02/96 01h00
26 29/02/96 19h29
27 02/03/96 13h57
28 04/03/96 08h25
29 06/03/96 02h54
30 07/03/96 21h22
31 09/03/96 15h50
32 11/03/96 10h19
33 13/03/96 04h47
34 14/03/96 23h15
35 16/03/96 17h44
36 18/03/96 12h12
37 20/03/96 06h40
38 22/03/96 01h29
39 23/03/96 19h37
40 25/03/96 14h05
41 27/03/96 08h34
42 29/03/96 03h02
43 30/03/96 21h30
44 01/04/96 15h59
45 03/04/96 10h27
46 05/04/96 04h55
47 06/04/96 23h24
48 08/04/96 17h52
49 10/04/96 12h20
50 12/04/96 06h48
51 14/04/96 01h17
52 15/04/96 19h45
53 17/04/96 14h13
54 19/04/96 08h42
55 21/04/96 03h10
56 22/04/96 21h38
57 24/04/96 16h07
58 26/04/96 10h35
59 28/04/96 05h03
60 29/04/96 23h31
61 01/05/96 18h00
62 03/05/96 12h28
63 05/05/96 06h56
64 07/05/96 01h25
65 08/05/96 19h53
66 10/05/96 14h21
67 12/05/96 08h50
68 14/05/96 03h18
69 15/05/96 21h46
70 17/05/96 16h15
71 19/05/96 10h43
72 21/05/96 05h11
73 22/05/96 23h40
74 24/05/96 18h08
75 26/05/96 12h36
76 28/05/96 07h05
77 30/05/96 01h33
78 31/05/96 20h01
79 02/06/96 14h30
80 04/06/96 08h58
81 06/06/96 03h26
82 07/06/96 21h55
83 09/06/96 16h23
84 11/06/96 10h52
85 13/06/96 05h20
86 17/06/96 23h48
87 16/06/96 18h17
88 18/06/96 12h45
89 20/06/96 07h14
90 22/06/96 01h42
91 23/06/96 20h11
92 25/06/96 14h39
93 27/06/96 09h08
94 29/06/96 03h36
95 30/06/96 22h04
96 02/07/96 16h33
